date,musica,artista,plataforma,url,view_count,like_count,comment_count,video_id,youtube_title,channel_title,fetched_at
2026-02-06,Lil Flow Natalino 3,Lil Chainz,YouTube,https://www.youtube.com/watch?v=kTGOMz-Fg0M,186903,11517,869,kTGOMz-Fg0M,"Lil Chainz, Akashi Cruz, SNIF, Fuub, LinoMC & ZackZin - Flow Natalino 3 🎅",Lil Chainz,2026-02-06T02:59:47.654816+00:00
2026-02-06,"Af, tô muito apaixonado",Lil Chainz,YouTube,https://www.youtube.com/watch?v=kXhatIWCSaU,134951,9937,395,kXhatIWCSaU,"Lil Chainz x Sanza - Af, to muito apaixonado",Lil Chainz,2026-02-06T03:00:04.262018+00:00
2026-02-06,Cosplay de Amor da Minha Vida,Lil Chainz,YouTube,https://www.youtube.com/watch?v=kh0jSg0PIi8,2600110,58714,1152,kh0jSg0PIi8,Lil Chainz & VMZ - Cosplay de Amor da Minha Vida,Lil Chainz,2026-02-06T02:59:58.039091+00:00
2026-02-06,Final Cruel,Lil Chainz,YouTube,https://www.youtube.com/watch?v=lEVLUDOQ6ok,78965,3163,124,lEVLUDOQ6ok,Lil Chainz - Final Cruel,Lil Chainz,2026-02-06T02:59:48.530451+00:00
2026-02-06,DEBILOIDE,Lil Chainz,YouTube,https://www.youtube.com/watch?v=nWpIxZqtuFs,918234,19523,341,nWpIxZqtuFs,Lil Chainz & Akashi Cruz - DEBILOIDE,Lil Chainz,2026-02-06T02:59:55.523621+00:00
2026-02-06,Prada,Lil Chainz,YouTube,https://www.youtube.com/watch?v=nlTAOJYdDDc,119201,8135,341,nlTAOJYdDDc,Lil Chainz - Prada (Prod: Misery),Lil Chainz,2026-02-06T03:00:03.568944+00:00
2026-02-06,Trap Story,Lil Chainz,YouTube,https://www.youtube.com/watch?v=o3WklS0PpnM,1076196,61859,1111,o3WklS0PpnM,"Lil Chainz - ""Trap Story"" Feat. X1 (prod: @jeall.exe)",Lil Chainz,2026-02-06T03:00:02.833726+00:00
2026-02-06,Maria Gasolina,Lil Chainz,YouTube,https://www.youtube.com/watch?v=o846krnxGoc,256753,13602,443,o846krnxGoc,Lil Chainz - Maria Gasolina ⛽️,Lil Chainz,2026-02-06T02:59:58.771292+00:00
2026-02-06,Quando você me deixou,Lil Chainz,YouTube Music,https://www.youtube.com/watch?v=o8_WenDcKyc,21614,469,5,o8_WenDcKyc,Quando você me deixou,SNIF - Topic,2026-02-06T03:00:06.871787+00:00
2026-02-06,Meu Corre,Lil Chainz,YouTube,https://www.youtube.com/watch?v=oPPwAG769WE,216102,19164,640,oPPwAG769WE,Lil Chainz x PJ HOUDINI - Meu Corre🏃🏻,Lil Chainz,2026-02-06T02:59:59.975251+00:00
2026-02-06,Dia Z,Lil Chainz,YouTube,https://www.youtube.com/watch?v=oopxlcYC8aA,31533,2091,81,oopxlcYC8aA,Lil Chainz - Dia Z (ft. Akashi Cruz & Oushan) | EP Esperança do Meu Bairro,Lil Chainz,2026-02-06T02:59:50.451099+00:00
2026-02-06,Não escute se estiver com saudades,Lil Chainz,YouTube,https://www.youtube.com/watch?v=pLkM5M3gSxc,206137,17770,720,pLkM5M3gSxc,Lil Chainz - Não escute se estiver com saudades,Lil Chainz,2026-02-06T02:59:59.611980+00:00
2026-02-06,PROJETO X,Lil Chainz,YouTube,https://www.youtube.com/watch?v=pP9_-edC3P0,3663738,64639,1035,pP9_-edC3P0,Lil Chainz & Akashi Cruz - PROJETO X,Lil Chainz,2026-02-06T02:59:57.356327+00:00
2026-02-06,Canção pra ela...,Lil Chainz,YouTube,https://www.youtube.com/watch?v=pffrlweHKVo,363673,18682,628,pffrlweHKVo,Lil chainz - canção pra ela...,Lil Chainz,2026-02-06T03:00:03.041042+00:00
2026-02-06,Promete nunca me deixar?,Lil Chainz,YouTube Music,https://www.youtube.com/watch?v=plgIKQD1tYA,16524,432,11,plgIKQD1tYA,Promete nunca me deixar?,Lil Chainz - Topic,2026-02-06T03:00:08.086162+00:00
2026-02-06,Senpai,Lil Chainz,YouTube,https://www.youtube.com/watch?v=pu8kWICVxlY,418646,17587,499,pu8kWICVxlY,Lil Chainz - Senpai,Lil Chainz,2026-02-06T02:59:57.514098+00:00
2026-02-06,Subestimado,Lil Chainz,YouTube,https://www.youtube.com/watch?v=qT6oAQljJzo,30271,1921,96,qT6oAQljJzo,Lil Chainz - Subestimado | EP Esperança do Meu Bairro,Lil Chainz,2026-02-06T02:59:49.858363+00:00
2026-02-06,Sinto Tanta Falta de Nós,Lil Chainz,YouTube,https://www.youtube.com/watch?v=qVEOBR7wpVY,80477,6800,332,qVEOBR7wpVY,Lil Chainz - Sinto Tanta Falta de Nós,Lil Chainz,2026-02-06T03:00:04.444389+00:00
2026-02-06,Capital Girando,Lil Chainz,YouTube,https://www.youtube.com/watch?v=siqA7wbVGSY,1202639,37303,944,siqA7wbVGSY,Lil Chainz x Mikezin - Capital Girando 💰 (Prod. Jonis),Lil Chainz,2026-02-06T03:00:00.504417+00:00
2026-02-06,É facin fazer trap,Lil Chainz,YouTube,https://www.youtube.com/watch?v=suPue_LSzKQ,1972805,70047,1338,suPue_LSzKQ,Lil Chainz - É facin fazer trap (Prod: @robrxk @enzotg_),Lil Chainz,2026-02-06T03:00:03.198170+00:00
2026-02-06,Quando a sdd apertar,Lil Chainz,YouTube,https://www.youtube.com/watch?v=tziOdVip5Ak,580331,18558,933,tziOdVip5Ak,Lil Chainz - Quando a sdd apertar,Lil Chainz,2026-02-06T02:59:51.739672+00:00
2026-02-06,Levo minha vida nesse corre,Lil Chainz,YouTube,https://www.youtube.com/watch?v=uEgBjiDp3-Q,97118,6712,216,uEgBjiDp3-Q,Lil Chainz - Levo minha vida nesse corre,Lil Chainz,2026-02-06T03:00:02.163218+00:00
